Wl;L (W m-2 ste-1 nm-1);fwhm
374.64;0.20849146;
374.88;0.21236136;
375.12;0.21891813;
375.36;0.22869594;
375.6;0.24078828;
375.84;0.24908612;
376.08;0.25555564;
376.32;0.25831727;
376.56;0.25292142;
376.8;0.24391574;
377.04;0.23247359;
377.28;0.22143175;
377.52;0.21453134;
377.76;0.21215675;
378;0.21156088;
378.24;0.21383105;
378.48;0.22759866;
378.72;0.2346794;
378.96;0.23528718;
379.2;0.2306614;
379.44;0.22291044;
379.68;0.21064087;
379.92;0.19507988;
380.16;0.18148592;
380.4;0.17242569;
380.64;0.16419214;
380.88;0.15582457;
381.12;0.14782589;
381.36;0.14788005;
381.6;0.14960565;
381.84;0.15327378;
382.08;0.16044046;
382.32;0.17066649;
382.56;0.18381362;
382.8;0.19804635;
383.04;0.20746421;
383.28;0.20652448;
383.52;0.2001881;
383.76;0.19901833;
384;0.19163156;
384.24;0.19165464;
384.48;0.19636559;
384.72;0.2000468;
384.96;0.20123785;
385.2;0.19881607;
385.44;0.19442568;
385.68;0.19246015;
385.92;0.19389574;
386.16;0.19274105;
386.4;0.18765456;
386.64;0.18781968;
386.88;0.19158059;
387.12;0.19652705;
387.36;0.20243074;
387.6;0.21159603;
387.84;0.21974153;
388.08;0.22167897;
388.32;0.21888961;
388.56;0.21703712;
388.8;0.2170571;
389.04;0.2195751;
389.28;0.22265805;
389.52;0.22378665;
389.76;0.22324897;
390;0.21202759;
390.24;0.19806716;
390.48;0.18273909;
390.72;0.1657553;
390.96;0.147793;
391.2;0.1289132;
391.44;0.11376471;
391.68;0.10695332;
391.92;0.11564145;
392.16;0.13365731;
392.4;0.15455927;
392.64;0.17221283;
392.88;0.18749978;
393.12;0.20051675;
393.36;0.20864678;
393.6;0.21006053;
393.84;0.20539151;
394.08;0.19523587;
394.32;0.17987088;
394.56;0.1582771;
394.8;0.14029336;
395.04;0.12885411;
395.28;0.13102598;
395.52;0.14569048;
395.76;0.16997062;
396;0.19824487;
396.24;0.22218419;
396.48;0.23731656;
396.72;0.24759156;
396.96;0.25570098;
397.2;0.2610722;
397.44;0.2616195;
397.68;0.26517914;
397.92;0.26959884;
398.16;0.27222389;
398.4;0.2730735;
398.64;0.27477067;
398.88;0.2770581;
399.12;0.27935949;
399.36;0.28412135;
399.6;0.28839717;
399.84;0.2922664;
400.08;0.29197977;
400.32;0.29180099;
400.56;0.2935063;
400.8;0.29542186;
401.04;0.29522641;
401.28;0.29141911;
401.52;0.28628963;
401.76;0.28770483;
402;0.29887482;
402.24;0.30637222;
402.48;0.30712417;
402.72;0.30164271;
402.96;0.29481535;
403.2;0.30208434;
403.44;0.3135129;
403.68;0.31721346;
403.92;0.31387349;
404.16;0.3107458;
404.4;0.31177846;
404.64;0.3145457;
404.88;0.31542151;
405.12;0.31732143;
405.36;0.32901551;
405.6;0.3321306;
405.84;0.3318943;
406.08;0.32997322;
406.32;0.33764531;
406.56;0.34935266;
406.8;0.35763453;
407.04;0.35925223;
407.28;0.3580998;
407.52;0.35794045;
407.76;0.34616224;
408;0.32964071;
408.24;0.31525019;
408.48;0.30611808;
408.72;0.31318357;
408.96;0.32420982;
409.2;0.33362182;
409.44;0.34389181;
409.68;0.35355872;
409.92;0.35822327;
410.16;0.35728192;
410.4;0.35336348;
410.64;0.35055829;
410.88;0.34871477;
411.12;0.34517372;
411.36;0.33991106;
411.6;0.33634347;
411.84;0.33892359;
412.08;0.34345046;
412.32;0.34625891;
412.56;0.34578572;
412.8;0.34304885;
413.04;0.34124564;
413.28;0.33935929;
413.52;0.33913805;
413.76;0.34055096;
414;0.33749671;
414.24;0.34447525;
414.48;0.35252471;
414.72;0.35837057;
414.96;0.35746264;
415.2;0.34845568;
415.44;0.33793726;
415.68;0.33297955;
415.92;0.33165337;
416.16;0.33375435;
416.4;0.33657135;
416.64;0.33773893;
